price,address,Diện tích,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Lộ giới
"9,5 tỷ VNĐ","ngõ 203/8 Kim Ngưu, Phường Thanh Lương, Quận Hai Bà Trưng", 84m2, Đông, 6, 3, 4, 3,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442851.6780603,
"4,25 tỷ VNĐ","Đường Hồ Giám, Cát Linh, Đống Đa", 22m2,, 3, 5, 3, 3,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442854.2173765, 8
9 triệu VNĐ/m2,hà nội, 80m2,,,,,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442857.0369449,
4 tỷ VNĐ,Trương Định - Hà Nội, 70m2,,,,,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442859.3256962,
33 tỷ VNĐ,"Đường Cự Lộc, Thượng Đình, Thanh Xuân", 100m2,, 6, 8, 7, 8,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442862.0211875, 20
"4,4 tỷ VNĐ","đống đa, hà nội", 40m2, Tây, 4, 5, 4, 3,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442864.2082152,
"6,2 tỷ VNĐ","Đường Khương Đình, Hạ Đình, Thanh Xuân", 60m2, Đông bắc, 6, 6, 11, 11,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442866.5434904, 3
5 tỷ VNĐ,"Đường Nguyễn Chí Thanh, Láng Thượng, Đống Đa", 62m2,, 4, 5, 3, 3,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442868.7432556, 1
"1,5 tỷ VNĐ","Đường Đông Thái, Hàng Bông, Hoàn Kiếm", 30m2, Đông nam,, 19, 1,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442870.739036, 22
"2,5 tỷ VNĐ","Kính Nỗ, Uy Nỗ, Đông Anh, Hà Nội", 60m2,, 4,,,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442872.519762,
"9,2 tỷ VNĐ","Đường Đỗ Đức Dục, Mễ Trì, Nam Từ Liêm", 45m2,, 5, 6, 6,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442874.8418026, 10
"2,99 tỷ VNĐ",Tập thể NGhĩa Tân Cầu Giấy Hà Nội, 100m2,,,, 3,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442877.1114593,
"4,1 tỷ VNĐ","Đường Cầu Giấy, Quan Hoa, Cầu Giấy", 32m2,, 5, 5, 4, 4,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442879.3912716, 10
"2,65 tỷ VNĐ","Đường Nghĩa Tân, Nghĩa Tân, Cầu Giấy", 55m2,, 4, 4, 3, 4,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442881.8604486, 8
11 tỷ VNĐ,cổ bi gia lâm, 90m2,,,,,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442884.3845491,
3 tỷ VNĐ,"Đường Đông Ngạc, Thụy Phương, Bắc Từ Liêm", 58m2,, 5, 1, 1, 1,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442886.6690555, 1
"7,6 tỷ VNĐ",Phạm Văn Đồng Cầu Giấy Hà Nội, 45m2,, 4, 6, 4,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442889.372905,
12 tỷ VNĐ,"Đường Thái Hà, Khương Thượng, Đống Đa", 83m2,, 6, 5,,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442891.553178, 8
"5,25 tỷ VNĐ",Trương Công Giai, 42m2,, 4, 5, 3,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442894.3659353,
"5,5 tỷ VNĐ","Đường Kim Mã, Kim Mã, Ba Đình", 52m2,, 5, 5, 3, 4,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442896.8393621, 2
