price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Hướng
"9,3 tỷ VNĐ","Đường Trần Quang Đạo, Phú Đô, Nam Từ Liêm", 40m2, 4, 15, 5, 5, 9,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473575.5153732,
"7,2 tỷ VNĐ","Đường Đội Nhân, Vĩnh Phúc, Ba Đình", 37m2, 3, 2, 5, 5, 4,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473578.620852,
38 triệu VNĐ/m2,quốc lộ 32, 52m2,,,,,,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473580.789462,
"7,9 tỷ VNĐ","Đường Láng Hạ, Láng Hạ, Đống Đa", 36m2, 3, 3, 5, 4, 4,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473599.1795957,
"3,45 tỷ VNĐ",609 Trương Định, 89m2,,,, 2,,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473601.9093947,
"4,85 tỷ VNĐ","Đường Sài Đồng, Sài Đồng, Long Biên", 46m2, 7, 4, 5, 4, 4,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473604.5615437,
"6,25 tỷ VNĐ","Đường Ngọc Lâm, Ngọc Lâm, Long Biên", 48m2, 5, 4, 5, 6, 3,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473606.8992953,
,"Đường Phạm Tuấn Tài, Nghĩa Đô, Cầu Giấy", 60m2, 5, 30, 8, 7, 8,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473609.2958486,
"4,1 tỷ VNĐ","Khâm Thiên, Đông Đa, Hà Nội", 37m2, 2, 2, 3, 3, 2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473612.9607537, Đông nam
5 tỷ VNĐ,"Đường Thái Hà, Trung Liệt, Đống Đa", 45m2, 5, 3, 4, 5, 4,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473615.7050683,
"3,7 tỷ VNĐ","Đường Kim Mã, Ba Đình, Hà Nội", 20m2, 4, 2, 5, 3, 3,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473618.3741422, Tây
"3,4 tỷ VNĐ","Đường Kim Mã, Kim Mã, Ba Đình", 29m2, 3, 4, 5, 3, 4,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473620.9142134,
"6,5 tỷ VNĐ",Vạn Phúc - Hà Đông - Hà Nội, 38m2, 3, 3, 5, 3, 4,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473623.6768584, Tây nam
"7,2 tỷ VNĐ","Đường Hồng Tiến, Bồ Đề, Long Biên", 50m2, 4, 5, 6, 4, 6,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473626.2427242,
,"Đường Khuyến Lương, Trần Phú, Hoàng Mai", 30m2,, 5, 4, 3, 3,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473628.6841972,
,"Đường Khương Đình, Khương Đình, Thanh Xuân", 45m2, 6, 2, 6, 4, 5,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473632.8405783,
8 tỷ VNĐ,"Nguyễn Văn Cừ, Long Biên", 50m2, 4,,,,,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473634.8423967,
"10,2 tỷ VNĐ","Đường Cổ Nhuế, Cổ Nhuế 1, Bắc Từ Liêm", 55m2, 5, 30, 3, 4,,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473637.4349055,
9 tỷ VNĐ,"Đường Hoa Bằng, Yên Hòa, Cầu Giấy", 46m2, 9, 10, 7, 4, 6,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473640.141054,
