id,date,exp_date,house_direction,balcony_direction,bedroom,toilet,legit,furniture,floor,facade,entrance,city,district,ward,street,area,price
batdongsan_com_vn_32820224,26/11/2022,06/12/2022,None,None,9,9,Sổ đỏ/ Sổ hồng,,9,5.2 m,None,Hà Nội,Thanh Xuân,Phường Khương Mai,Đường Nguyễn Ngọc Nại,122.0,38000.0
batdongsan_com_vn_32767939,26/11/2022,10/12/2022,None,None,9,9,Sổ đỏ/ Sổ hồng,,8,7.9 m,None,Hà Nội,Cầu Giấy,Phường Dịch Vọng,Đường Trần Thái Tông,141.0,67000.0
batdongsan_com_vn_34738074,26/11/2022,03/12/2022,None,None,6,8,SĐCC phân lô,Xịn đẹp nhập khẩu,6,4.2 m,60,Hà Nội,Hà Đông,Phường La Khê,Đường Lê Trọng Tấn,58.0,12600.0
batdongsan_com_vn_35958068,26/11/2022,06/12/2022,None,None,None,None,Sổ đỏ/ Sổ hồng,,4,None,None,Hà Nội,Hoàng Mai,Phường Định Công,None,35.0,5280.0
batdongsan_com_vn_25251672,26/11/2022,06/12/2022,Tây - Nam,Đông - Bắc,2,2,Hợp đồng mua bán,Full nội thất cao cấp gắn tường. ,None,None,None,Hà Nội,Tây Hồ,Phường Phú Thượng,298 Đường Võ Chí Công,69.0,4950.0
batdongsan_com_vn_35959646,26/11/2022,03/12/2022,None,None,None,None,None,,None,None,None,Hà Nội,Hai Bà Trưng,None,None,83.0,3800.0
batdongsan_com_vn_35633001,26/11/2022,03/12/2022,None,None,6,8,Sđcc.,Thô.,5,4.5 m,16,Hà Nội,Hà Đông,Phường Phú La,Đường Lê Trọng Tấn,100.0,10300.0
batdongsan_com_vn_32777791,26/11/2022,10/12/2022,None,None,10,10,Sổ đỏ/ Sổ hồng,,10,9 m,None,Hà Nội,Thanh Xuân,Phường Khương Đình,Phố Vũ Tông Phan,93.3,52000.0
batdongsan_com_vn_34756046,26/11/2022,03/12/2022,None,None,6,None,Sđcc,Quá xịn,5,5 m,13.5,Hà Nội,Hà Đông,Phường La Khê,Đường Tố Hữu,89.0,11600.0
batdongsan_com_vn_26119997,22/11/2022,29/11/2022,None,None,3,2,None,,None,None,None,Hà Nội,Nam Từ Liêm,Phường Mễ Trì,Đường Phạm Hùng,107.0,4815.0
