,Price,Area,Facade,Building Line,Floors,Bedrooms,Pulish Time,Type,ID,Toilets,Direction,District
6913,120000,90.0,6.0,8.0,3,3,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499951.4554484,None,,None
6919,100000,68.0,10.0,20.0,5,4,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499979.702844,4,,None
6920,39000,40.0,4.0,3.0,4,4,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499980.549581,4,,None
6921,120000,157.0,4.0,20.0,1,4,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499981.3993075,2,,None
6922,33000,36.0,3.0,1.0,3,3,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499982.233078,3,,None
6923,115000,68.0,4.0,10.0,5,3,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499983.3849986,5,,None
6927,36000,30.0,4.0,3.0,5,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670499987.53897,4,,None
6928,450000,90.0,8.0,10.0,3,None,23/08/2022,Tin thường,batdongsan_so_com_vn_1670499988.5882964,None,,None
6931,32000,37.0,3.0,15.0,4,3,23/08/2022,Tin thường,batdongsan_so_com_vn_1670499991.5267274,4,,None
6934,83000,61.0,4.0,6.0,1,1,23/08/2022,Tin thường,batdongsan_so_com_vn_1670499994.600136,1,,Hà Đông
6935,42000,34.0,4.0,3.0,6,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670499995.5645032,5,,None
6938,65000,52.0,4.0,6.0,3,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670499998.6253474,3,,None
6939,72000,84.0,5.0,3.0,4,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500017.946709,3,,None
6940,65000,65.0,5.0,3.0,4,6,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500018.931075,5,,None
6945,60000,40.0,4.0,2.0,5,6,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500027.5625114,4,,None
6953,47000,54.0,4.0,3.0,5,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500036.2237554,3,,None
6958,37000,35.0,4.0,3.0,4,3,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500041.2390876,4,,None
6959,35500,38.0,3.0,3.0,5,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500062.2584546,4,,None
6960,1800000,500.0,25.0,15.0,4,5,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500063.3345754,5,,None
6962,65000,52.0,4.0,6.0,3,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500065.191067,3,,None
6963,96000,293.0,5.0,15.0,5,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500066.1923902,4,,None
6964,90000,44.0,5.0,5.0,6,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500067.0770285,5,,None
6965,63000,45.0,4.0,8.0,5,5,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500068.3496287,None,,None
6966,62000,48.0,5.0,5.0,4,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500069.7389061,3,,None
6974,75000,116.0,7.0,3.0,3,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500082.2944117,4,,Long Biên
6982,78000,52.0,12.0,20.0,1,3,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500117.0748081,2,,None
6983,11,1555.0,10.0,8.0,1,2,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500117.9763968,1,,None
6984,21000,85.0,8.0,15.0,10,3,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500119.2799115,2,,None
6986,100000,45.0,4.0,3.0,4,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500121.0880775,3,,None
6989,150000,52.0,7.0,7.0,7,7,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500127.232594,7,,None
6991,48000,75.0,5.0,2.0,3,3,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500129.5286686,3,,None
6994,45000,50.0,4.0,3.0,5,5,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500133.5204334,4,,None
6995,50000,30.0,5.0,6.0,5,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500134.6075299,4,,None
6998,37000,38.0,4.0,2.0,4,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500137.8428752,3,,None
6999,50000,45.0,6.0,2.0,5,None,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444211.620042,None, Đông nam,None
7000,260000,115.0,8.0,6.0,7,17,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444214.2853801,17,,Nam Từ Liêm
7004,178000,66.0,6.0,10.0,6,6,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444223.299429,6,,Tây Hồ
7006,115000,67.0,5.0,5.0,5,None,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444228.2211752,None,,Long Biên
7008,118000,47.0,4.0,6.0,7,5,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444232.4881277,6,,Cầu Giấy
7009,118000,47.0,4.0,6.0,7,5,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444234.6776652,6,,Cầu Giấy
7010,75000,65.0,8.0,5.0,4,4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444236.7994165,4,,Cầu Giấy
7012,85,42.0,4.0,3.0,5,4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444241.1739597,3,,Long Biên
7013,40000,36.0,3.0,3.0,5,3,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444242.9042506,4,,Thanh Xuân
7014,64000,41.0,3.0,5.0,5,None,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444245.4215453,None,,Long Biên
